"Project","vscode"
"Directory Scanned","/Users/hobbit/github/galasa/vscode"
"Date","2020-05-26T13:06:06.106Z"
"CLI Version","2.2.35"
"WILD Version","1.0.201"
""
"Name","Version","Need Pedigree Review","Reason","Review Level","License Types","Declared License","License Status","Path"
"galasa-plugin","0.7.0","true","New package and not exempt","","Apache-2.0,BSD-2-Clause,BSD-3-Clause,CC-BY-3.0,CC0-1.0,EPL-2.0,X11","","Needs Legal Approval",""
"galasa-boot","unknown","true","New package and not exempt","","Apache-2.0,MIT","","Approved","lib/galasa-boot.jar"
"commons-logging","1.2","false","Previously pedigree reviewed","1","Apache-2.0","Apache-2.0","Approved","lib/galasa-boot.jar/bundle/commons-logging.jar"
"dev.galasa.framework.maven.repository","0.6.0-SNAPSHOT","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.jar"
"maven-repository-metadata","3.3.9","false","Previously pedigree reviewed","2","Apache-2.0","","Approved","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.jar/maven-repository-metadata-3.3.9.jar"
"plexus-utils","3.0.22","false","Exempt - Version closely related to 3.0.24","2","Apache-1.1,Apache-2.0,BSD-2-Clause,BSD-3-Clause,KEYWORD,UNKNOWN","","Needs Review","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.jar/plexus-utils-3.0.22.jar"
"dev.galasa.framework.maven.repository.spi","0.6.0-SNAPSHOT","true","New package and not exempt","","EPL-2.0","EPL-2.0","Approved","lib/galasa-boot.jar/bundle/dev.galasa.framework.maven.repository.spi.jar"
"log4j","1.2.17","false","Previously pedigree reviewed","1","Apache-2.0","Apache-2.0","Approved","lib/galasa-boot.jar/bundle/log4j.jar"
"apache.felix.bundlerepository","2.0.2","true","New package and not exempt","","Apache-2.0,MIT","Apache-2.0","Approved","lib/galasa-boot.jar/bundle/org.apache.felix.bundlerepository.jar"
"apache.felix.scr","2.1.14","true","New package and not exempt","","Apache-2.0,KEYWORD,MIT,UNKNOWN","Apache-2.0","Needs Review","lib/galasa-boot.jar/bundle/org.apache.felix.scr.jar"
"galasa-simplatform","0.7.0","true","New package and not exempt","","Apache-2.0,BSD-2-Clause,EPL-2.0,MIT,NAIST","","Approved","lib/galasa-simplatform.jar"
"@types/events","3.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/@types/events"
"@types/glob","7.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/@types/glob"
"@types/minimatch","3.0.3","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/@types/minimatch"
"@types/node","13.13.5","false","Exempt - Version closely related to 13.13.0","2","MIT","MIT","Approved","node_modules/@types/node"
"@types/rimraf","3.0.0","true","New package and not exempt","","MIT","MIT","Approved","node_modules/@types/rimraf"
"@types/unzipper","0.10.3","true","New package and not exempt","","MIT","MIT","Approved","node_modules/@types/unzipper"
"@types/vscode","1.44.0","true","New package and not exempt","","MIT","MIT","Approved","node_modules/@types/vscode"
"ajv","6.12.2","false","Exempt - Version closely related to 6.12.0","2","BSD-2-Clause,MIT","MIT","Approved","node_modules/ajv"
"ansi-gray","0.1.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ansi-gray"
"ansi-wrap","0.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/ansi-wrap"
"append-buffer","1.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/append-buffer"
"archy","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/archy"
"arr-diff","4.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-diff"
"arr-filter","1.1.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-filter"
"arr-flatten","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-flatten"
"arr-map","2.0.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-map"
"arr-union","3.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/arr-union"
"array-each","1.0.1","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-each"
"array-initial","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-initial"
"is-number","4.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-initial/node_modules/is-number"
"array-last","1.3.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-last"
"array-slice","1.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-slice"
"array-sort","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-sort"
"kind-of","5.1.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-sort/node_modules/kind-of"
"array-unique","0.3.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/array-unique"
"asn1","0.2.4","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/asn1"
"assert-plus","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/assert-plus"
"assign-symbols","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/assign-symbols"
"async-done","1.3.2","true","New package and not exempt","","MIT","MIT","Approved","node_modules/async-done"
"async-each","1.0.3","true","New package and not exempt","","MIT","MIT","Approved","node_modules/async-each"
"async-settle","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/async-settle"
"asynckit","0.4.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/asynckit"
"atob","2.1.2","false","Previously pedigree reviewed","3.1","Apache-2.0,CC-BY-3.0,KEYWORD,MIT,UNKNOWN","Apache-2.0","Needs Review | Needs Legal Approval","node_modules/atob"
"aws-sign2","0.7.0","false","Previously pedigree reviewed","2","Apache-2.0","Apache-2.0","Approved","node_modules/aws-sign2"
"aws4","1.9.1","false","Exempt - Version closely related to 1.9.0","2","MIT","MIT","Approved","node_modules/aws4"
"bach","1.2.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/bach"
"balanced-match","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/balanced-match"
"base","0.11.2","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/base"
"define-property","1.0.0","false","Previously pedigree reviewed","2","MIT","MIT","Approved","node_modules/base/node_modules/define-property"
